N,P,K,temperature,humidity,pH,rainfall,crop,best_season,planting_months,cultivation_duration,harvest_months,water_requirement
54.0,67.0,52.0,35.67667332,93.30641944,6.586107335,141.3381168,papaya,Unknown,Unknown,90,Unknown,Medium
69.0,67.0,52.0,27.71948962,94.43877142,6.827305908,82.83061083,papaya,Unknown,Unknown,90,Unknown,Medium
67.0,68.0,49.0,35.26824831,92.38282957,6.821774589,149.8488208,papaya,Unknown,Unknown,90,Unknown,Medium
45.0,57.0,47.0,23.16855863,90.78821158,6.656458831,161.6892093,papaya,Unknown,Unknown,90,Unknown,Medium
56.0,50.0,52.0,33.08706051,92.25197542,6.770384816,88.1300769,papaya,Unknown,Unknown,90,Unknown,Medium
70.0,50.0,53.0,37.4620912,90.44967809,6.933809743,172.3458448,papaya,Unknown,Unknown,90,Unknown,Medium
44.0,47.0,45.0,38.73218907,94.73613484,6.579441304,218.142147,papaya,Unknown,Unknown,90,Unknown,Medium
50.0,60.0,47.0,32.57720726,92.74889453,6.92791761,93.7942847,papaya,Unknown,Unknown,90,Unknown,Medium
52.0,51.0,53.0,38.38231475,93.10378595,6.985804083,210.2735346,papaya,Unknown,Unknown,90,Unknown,Medium
35.0,68.0,45.0,42.93605359,90.09448142,6.612429546,234.8466111,papaya,Unknown,Unknown,90,Unknown,Medium
68.0,69.0,52.0,25.65492304,92.74501561,6.813383387,52.95477913,papaya,Unknown,Unknown,90,Unknown,Medium
32.0,55.0,52.0,37.58899717,91.99740365,6.9677596,159.6577388,papaya,Unknown,Unknown,90,Unknown,Medium
32.0,55.0,51.0,29.60718808,93.15642801,6.57398033,62.68710535,papaya,Unknown,Unknown,90,Unknown,Medium
48.0,62.0,47.0,25.34756111,93.02871078,6.803094965,174.4012337,papaya,Unknown,Unknown,90,Unknown,Medium
39.0,69.0,53.0,25.9300384,93.02357765,6.964955435,241.8202079,papaya,Unknown,Unknown,90,Unknown,Medium
49.0,61.0,45.0,32.76795887,94.57377401,6.764213299,240.4795923,papaya,Unknown,Unknown,90,Unknown,Medium
48.0,57.0,54.0,29.02328049,90.20396783,6.617703178,126.8069869,papaya,Unknown,Unknown,90,Unknown,Medium
69.0,66.0,49.0,40.00439101,90.17015833,6.52711001,92.11877372,papaya,Unknown,Unknown,90,Unknown,Medium
53.0,55.0,55.0,33.32315744,91.25271223,6.709668804,234.496633,papaya,Unknown,Unknown,90,Unknown,Medium
38.0,61.0,52.0,31.22790131,94.94021378,6.620729882,46.44279118,papaya,Unknown,Unknown,90,Unknown,Medium
57.0,64.0,55.0,26.68386496,92.9585411,6.583760499,62.50689682,papaya,Unknown,Unknown,90,Unknown,Medium
51.0,57.0,55.0,24.70528368,90.14732171,6.676407337,108.4103158,papaya,Unknown,Unknown,90,Unknown,Medium
56.0,65.0,45.0,38.2016825,93.97379963,6.751298936,218.0908814,papaya,Unknown,Unknown,90,Unknown,Medium
54.0,66.0,52.0,36.56769731,93.79503425,6.867554147,104.4218596,papaya,Unknown,Unknown,90,Unknown,Medium
58.0,55.0,47.0,26.05375792,93.69111672,6.742490027,240.6863901,papaya,Unknown,Unknown,90,Unknown,Medium
68.0,70.0,54.0,31.29986342,92.76039164,6.986228647,54.77830202,papaya,Unknown,Unknown,90,Unknown,Medium
42.0,59.0,55.0,40.10207731,94.35110201,6.979102243,149.1199989,papaya,Unknown,Unknown,90,Unknown,Medium
43.0,64.0,47.0,38.58954491,91.58076549,6.825664782,102.2708231,papaya,Unknown,Unknown,90,Unknown,Medium
35.0,67.0,49.0,41.31330062,91.1508798,6.617066674,239.7427554,papaya,Unknown,Unknown,90,Unknown,Medium
56.0,59.0,55.0,37.03551903,91.79430166,6.551892638,188.5181422,papaya,Unknown,Unknown,90,Unknown,Medium
39.0,64.0,53.0,23.0124018,91.07355541,6.598860305,208.3357976,papaya,Unknown,Unknown,90,Unknown,Medium
18.0,30.0,29.0,26.7627493,92.86056895,6.420018717,224.5903664,coconut,Unknown,Unknown,90,Unknown,Medium
37.0,23.0,28.0,25.61294367,94.3138837,5.740054567,224.3206759,coconut,Unknown,Unknown,90,Unknown,Medium
13.0,28.0,33.0,28.130115,95.64807631,5.686972967,151.0761899,coconut,Unknown,Unknown,90,Unknown,Medium
2.0,21.0,35.0,25.02887163,91.53720922,6.293662363,179.8248944,coconut,Unknown,Unknown,90,Unknown,Medium
10.0,18.0,35.0,27.79797651,99.64573002,6.381975465,181.6942283,coconut,Unknown,Unknown,90,Unknown,Medium
7.0,11.0,32.0,29.25902906,95.11294697,5.542169139,184.7624496,coconut,Unknown,Unknown,90,Unknown,Medium
39.0,5.0,31.0,27.10134661,93.69979946,5.551963184,150.9502632,coconut,Unknown,Unknown,90,Unknown,Medium
34.0,6.0,27.0,25.84726298,90.92669463,5.860740481,147.8888994,coconut,Unknown,Unknown,90,Unknown,Medium
31.0,30.0,29.0,26.58580443,90.98617591,5.558807063,178.8116076,coconut,Unknown,Unknown,90,Unknown,Medium
25.0,7.0,35.0,28.38503882,99.18843684,5.55771171,189.6711349,coconut,Unknown,Unknown,90,Unknown,Medium
16.0,18.0,26.0,28.43647052,91.81320717,5.568365926,145.5414413,coconut,Unknown,Unknown,90,Unknown,Medium
26.0,10.0,33.0,28.27298134,96.93649473,6.07071786,198.8234862,coconut,Unknown,Unknown,90,Unknown,Medium
27.0,8.0,32.0,27.00648436,96.46168931,5.627860549,144.3331315,coconut,Unknown,Unknown,90,Unknown,Medium
37.0,18.0,30.0,27.63551259,99.34854917,6.38488418,157.9171537,coconut,Unknown,Unknown,90,Unknown,Medium
19.0,15.0,34.0,26.29644905,99.65809151,5.685889066,215.9195049,coconut,Unknown,Unknown,90,Unknown,Medium
0.0,19.0,33.0,27.1326009,95.23797989,6.234458417,204.7206567,coconut,Unknown,Unknown,90,Unknown,Medium
31.0,20.0,26.0,25.56567803,97.61361544,6.443168642,199.7936345,coconut,Unknown,Unknown,90,Unknown,Medium
9.0,17.0,32.0,25.94951662,93.40548703,5.842317989,172.0540491,coconut,Unknown,Unknown,90,Unknown,Medium
22.0,11.0,29.0,28.03380598,95.01630593,5.955742971,218.0055713,coconut,Unknown,Unknown,90,Unknown,Medium
31.0,6.0,26.0,29.12859129,91.30924833,5.741367375,157.2388553,coconut,Unknown,Unknown,90,Unknown,Medium
34.0,6.0,30.0,27.0828252,97.00155491,5.948342571,171.7575545,coconut,Unknown,Unknown,90,Unknown,Medium
24.0,6.0,32.0,28.11321494,90.01734526,6.387067562,172.4813641,coconut,Unknown,Unknown,90,Unknown,Medium
1.0,8.0,26.0,27.5136304,94.18955816,5.562911913,156.6732553,coconut,Unknown,Unknown,90,Unknown,Medium
31.0,13.0,33.0,27.63834933,95.48763389,5.85971872,205.5463111,coconut,Unknown,Unknown,90,Unknown,Medium
10.0,9.0,28.0,29.01256899,94.01014388,6.282955073,150.0500312,coconut,Unknown,Unknown,90,Unknown,Medium
36.0,27.0,26.0,26.58413917,95.78923137,6.25449571,171.6262299,coconut,Unknown,Unknown,90,Unknown,Medium
38.0,24.0,33.0,28.28905147,97.00396405,5.973853124,142.9403233,coconut,Unknown,Unknown,90,Unknown,Medium
11.0,6.0,25.0,28.69164799,96.65248672,6.081568052,178.9635457,coconut,Unknown,Unknown,90,Unknown,Medium
16.0,14.0,30.0,29.70931288,96.30484325,6.37466756,209.8453993,coconut,Unknown,Unknown,90,Unknown,Medium
33.0,14.0,35.0,27.14865285,96.66355213,6.027707171,149.2433497,coconut,Unknown,Unknown,90,Unknown,Medium
16.0,6.0,29.0,29.28725038,91.95614918,5.868285082,132.1491176,coconut,Unknown,Unknown,90,Unknown,Medium
32.0,11.0,31.0,25.06871967,93.31410447,6.205931638,134.8419069,coconut,Unknown,Unknown,90,Unknown,Medium
38.0,14.0,30.0,26.92449525,91.20106019,5.570745386,194.9022136,coconut,Unknown,Unknown,90,Unknown,Medium
8.0,6.0,33.0,28.27804288,93.64761266,6.095261013,171.9457959,coconut,Unknown,Unknown,90,Unknown,Medium
23.0,6.0,33.0,29.18032562,92.73041222,6.025789594,204.9603677,coconut,Unknown,Unknown,90,Unknown,Medium
29.0,25.0,35.0,28.3575072,91.64509299,5.542873799,160.7306991,coconut,Unknown,Unknown,90,Unknown,Medium
24.0,14.0,33.0,29.38072512,93.27565685,6.366219551,218.5241851,coconut,Unknown,Unknown,90,Unknown,Medium
32.0,12.0,30.0,25.39241091,98.08951196,5.579845008,218.080385,coconut,Unknown,Unknown,90,Unknown,Medium
30.0,25.0,31.0,26.31270635,98.62048026,5.804965067,208.1181381,coconut,Unknown,Unknown,90,Unknown,Medium
14.0,21.0,35.0,29.52501367,91.91185319,6.121005506,194.3100272,coconut,Unknown,Unknown,90,Unknown,Medium
27.0,22.0,29.0,28.83214859,92.17170353,6.000248647,145.4172387,coconut,Unknown,Unknown,90,Unknown,Medium
40.0,5.0,29.0,28.48444906,97.76865458,5.820978791,160.389421,coconut,Unknown,Unknown,90,Unknown,Medium
17.0,11.0,32.0,28.74013335,93.39676499,5.620733794,156.7650823,coconut,Unknown,Unknown,90,Unknown,Medium
30.0,30.0,35.0,25.00872392,95.59224018,6.001936419,165.8092179,coconut,Unknown,Unknown,90,Unknown,Medium
28.0,10.0,30.0,29.8690834,91.14723422,6.305740522,192.7678575,coconut,Unknown,Unknown,90,Unknown,Medium
39.0,7.0,29.0,27.54273211,94.59086121,6.362544111,150.2012138,coconut,Unknown,Unknown,90,Unknown,Medium
32.0,20.0,35.0,26.52166434,98.38227669,5.588655387,144.6261698,coconut,Unknown,Unknown,90,Unknown,Medium
7.0,15.0,32.0,25.03512351,95.89739958,6.182232762,174.796583,coconut,Unknown,Unknown,90,Unknown,Medium
29.0,17.0,29.0,29.20394909,95.66997327,5.959493188,211.2506267,coconut,Unknown,Unknown,90,Unknown,Medium
34.0,15.0,34.0,27.05826457,91.10510371,5.677282678,224.7006953,coconut,Unknown,Unknown,90,Unknown,Medium
14.0,23.0,25.0,26.18552389,96.96637916,5.612122797,135.4186222,coconut,Unknown,Unknown,90,Unknown,Medium
18.0,19.0,29.0,27.59376845,92.48519606,6.206077742,162.8432736,coconut,Unknown,Unknown,90,Unknown,Medium
7.0,21.0,35.0,25.76011662,94.65830608,5.764812076,131.2451414,coconut,Unknown,Unknown,90,Unknown,Medium
24.0,27.0,34.0,28.87862994,95.11320315,6.203376525,145.0583117,coconut,Unknown,Unknown,90,Unknown,Medium
39.0,29.0,29.0,26.50908611,94.48414544,6.143662699,199.8778403,coconut,Unknown,Unknown,90,Unknown,Medium
29.0,8.0,28.0,26.87037587,91.72546257,6.100429497,214.4128874,coconut,Unknown,Unknown,90,Unknown,Medium
10.0,24.0,27.0,27.57283516,94.90485697,5.708409601,145.9298935,coconut,Unknown,Unknown,90,Unknown,Medium
0.0,29.0,32.0,28.05912437,98.3670985,5.868255858,171.6516396,coconut,Unknown,Unknown,90,Unknown,Medium
32.0,11.0,31.0,29.51611558,92.56492864,6.461225827,131.2116167,coconut,Unknown,Unknown,90,Unknown,Medium
37.0,10.0,32.0,28.96318258,95.16333673,6.165084855,222.803013,coconut,Unknown,Unknown,90,Unknown,Medium
20.0,29.0,27.0,25.09897688,92.36099489,6.047044342,157.7592626,coconut,Unknown,Unknown,90,Unknown,Medium
31.0,29.0,35.0,27.1872282,92.19906776,6.137102505,141.3220576,coconut,Unknown,Unknown,90,Unknown,Medium
17.0,30.0,27.0,29.03065024,90.79093862,5.894027065,205.5720367,coconut,Unknown,Unknown,90,Unknown,Medium
1.0,12.0,30.0,27.754298,95.94643831,5.56222383,131.0900076,coconut,Unknown,Unknown,90,Unknown,Medium
6.0,13.0,29.0,27.31155708,99.96906006,5.832608028,201.8258633,coconut,Unknown,Unknown,90,Unknown,Medium
15.0,28.0,32.0,28.84270971,99.64328526,6.218571874,224.4016682,coconut,Unknown,Unknown,90,Unknown,Medium
27.0,24.0,29.0,26.61423461,96.97300803,6.142010637,191.006688,coconut,Unknown,Unknown,90,Unknown,Medium
3.0,23.0,30.0,29.70143197,95.65754365,6.078807239,215.1968037,coconut,Unknown,Unknown,90,Unknown,Medium
8.0,26.0,26.0,25.54759871,91.64194826,5.702484758,212.867626,coconut,Unknown,Unknown,90,Unknown,Medium
20.0,28.0,26.0,26.37978453,91.49882979,5.547594847,167.0470997,coconut,Unknown,Unknown,90,Unknown,Medium
26.0,18.0,27.0,27.45907759,92.90736493,5.836075368,142.1430003,coconut,Unknown,Unknown,90,Unknown,Medium
1.0,6.0,35.0,27.02269204,95.71935435,6.231662767,147.1682459,coconut,Unknown,Unknown,90,Unknown,Medium
27.0,30.0,31.0,28.98545306,90.73966792,5.718120393,148.8398374,coconut,Unknown,Unknown,90,Unknown,Medium
23.0,7.0,34.0,26.1055118,91.52421214,5.852038202,134.1279669,coconut,Unknown,Unknown,90,Unknown,Medium
0.0,26.0,31.0,25.0707247,95.02156793,5.547933273,192.9036306,coconut,Unknown,Unknown,90,Unknown,Medium
38.0,6.0,25.0,25.54963273,96.92786777,6.156259104,191.2996157,coconut,Unknown,Unknown,90,Unknown,Medium
25.0,12.0,26.0,28.56973521,95.67906668,6.436314406,134.8370348,coconut,Unknown,Unknown,90,Unknown,Medium
40.0,5.0,32.0,26.07010807,96.7036223,5.981169595,143.533473,coconut,Unknown,Unknown,90,Unknown,Medium
0.0,19.0,31.0,25.51791333,94.38420565,6.271952833,178.7297725,coconut,Unknown,Unknown,90,Unknown,Medium
26.0,9.0,32.0,25.9490364,94.73860514,6.470465614,144.1571109,coconut,Unknown,Unknown,90,Unknown,Medium
35.0,30.0,34.0,28.2974764,95.41122824,6.141502001,182.4482352,coconut,Unknown,Unknown,90,Unknown,Medium
19.0,30.0,30.0,29.56549169,91.40896307,5.826381164,224.8315729,coconut,Unknown,Unknown,90,Unknown,Medium
31.0,13.0,33.0,29.69952329,95.21224392,6.342463714,148.3003692,coconut,Unknown,Unknown,90,Unknown,Medium
17.0,29.0,26.0,26.14162144,93.28415295,6.071897347,195.4115025,coconut,Unknown,Unknown,90,Unknown,Medium
2.0,30.0,30.0,26.00175125,94.79998418,6.331051715,209.540094,coconut,Unknown,Unknown,90,Unknown,Medium
30.0,13.0,25.0,27.15116142,91.48889469,6.413184638,164.9182225,coconut,Unknown,Unknown,90,Unknown,Medium
8.0,15.0,33.0,28.97318719,98.09861043,5.50158009,213.9011021,coconut,Unknown,Unknown,90,Unknown,Medium
18.0,12.0,35.0,26.13958446,96.38580769,6.338720873,131.3387935,coconut,Unknown,Unknown,90,Unknown,Medium
8.0,28.0,30.0,25.51618488,94.33465411,6.015672239,135.1272491,coconut,Unknown,Unknown,90,Unknown,Medium
40.0,22.0,29.0,27.55821802,99.98187601,5.735364307,174.6256481,coconut,Unknown,Unknown,90,Unknown,Medium
27.0,10.0,33.0,27.81132822,97.48410555,6.465906333,154.0621221,coconut,Unknown,Unknown,90,Unknown,Medium
21.0,20.0,31.0,25.60033702,99.7240104,5.855457599,165.8248732,coconut,Unknown,Unknown,90,Unknown,Medium
3.0,9.0,35.0,26.91641934,99.84671638,6.318552973,225.6323656,coconut,Unknown,Unknown,90,Unknown,Medium
22.0,16.0,27.0,29.1797902,90.27214288,6.006784979,188.9252083,coconut,Unknown,Unknown,90,Unknown,Medium
27.0,8.0,30.0,26.44600063,98.29937782,6.008386283,221.2258168,coconut,Unknown,Unknown,90,Unknown,Medium
22.0,8.0,33.0,28.43572863,95.8840407,5.665785202,203.9283708,coconut,Unknown,Unknown,90,Unknown,Medium
28.0,27.0,32.0,28.94099669,93.00109012,5.764615485,191.7723087,coconut,Unknown,Unknown,90,Unknown,Medium
23.0,21.0,26.0,26.45488737,93.45042636,5.901495544,149.2220255,coconut,Unknown,Unknown,90,Unknown,Medium
37.0,5.0,34.0,25.79490531,93.84150618,5.779032666,152.4238712,coconut,Unknown,Unknown,90,Unknown,Medium
19.0,26.0,29.0,26.93141945,98.80313612,5.67154928,166.5712879,coconut,Unknown,Unknown,90,Unknown,Medium
133.0,47.0,24.0,24.40228894,79.19732001,7.231324765,90.8022356,cotton,Summer,April-June,180,October-December,High
136.0,36.0,20.0,23.09595631,84.86275707,6.925412377,71.29581071,cotton,Summer,April-June,180,October-December,High
104.0,47.0,18.0,23.9656349,76.97696717,7.633437412,90.75616738,cotton,Summer,April-June,180,October-December,High
133.0,47.0,23.0,24.88738107,75.62137159,6.827354668,89.76050416,cotton,Summer,April-June,180,October-December,High
126.0,38.0,23.0,25.36243778,83.63276077,6.176716425,88.43618918,cotton,Summer,April-June,180,October-December,High
126.0,50.0,19.0,24.69457084,81.7358876,6.628722836,78.58494391,cotton,Summer,April-June,180,October-December,High
113.0,41.0,20.0,25.0017188,80.53965818,7.256877571,96.32600992,cotton,Summer,April-June,180,October-December,High
121.0,45.0,22.0,22.45942937,81.30681027,6.443785385,64.23026638,cotton,Summer,April-June,180,October-December,High
121.0,47.0,16.0,23.60564038,79.29573149,7.723240151,72.49800885,cotton,Summer,April-June,180,October-December,High
129.0,60.0,22.0,24.58453146,79.12404171,5.947448589,71.94608134,cotton,Summer,April-June,180,October-December,High
107.0,45.0,25.0,23.0865933,83.55546146,7.227745516,71.84080724,cotton,Summer,April-June,180,October-December,High
122.0,59.0,18.0,23.5000992,83.63488952,6.219469084,79.81328183,cotton,Summer,April-June,180,October-December,High
140.0,38.0,15.0,24.1472953,75.88298598,6.021439523,69.91563467,cotton,Summer,April-June,180,October-December,High
102.0,49.0,21.0,24.69315538,84.84422454,6.253343655,89.799462,cotton,Summer,April-June,180,October-December,High
111.0,40.0,25.0,24.484692,84.44932014,6.187455799,90.94342484,cotton,Summer,April-June,180,October-December,High
131.0,35.0,18.0,24.49112609,82.24415809,7.057693366,64.02949379,cotton,Summer,April-June,180,October-December,High
135.0,43.0,16.0,23.47986888,81.73049149,6.720449769,86.76287924,cotton,Summer,April-June,180,October-December,High
100.0,46.0,18.0,24.18586246,76.04203958,6.431689506,69.08056728,cotton,Summer,April-June,180,October-December,High
123.0,39.0,24.0,25.00755095,78.17952126,7.453106264,86.06411872,cotton,Summer,April-June,180,October-December,High
117.0,56.0,15.0,25.99237426,77.0543546,7.368258226,89.1188212,cotton,Summer,April-June,180,October-December,High
121.0,36.0,24.0,23.66457347,81.69105088,7.352401887,99.36898373,cotton,Summer,April-June,180,October-December,High
101.0,58.0,18.0,25.66891439,81.38103349,6.652143699,78.59595817,cotton,Summer,April-June,180,October-December,High
107.0,42.0,24.0,22.04612876,84.62978302,6.144631795,86.00758678,cotton,Summer,April-June,180,October-December,High
100.0,41.0,22.0,22.4204752,84.55794703,7.318802162,93.46595573,cotton,Summer,April-June,180,October-December,High
125.0,39.0,21.0,25.03149561,82.21276599,7.954629324,95.0191318,cotton,Summer,April-June,180,October-December,High
105.0,60.0,23.0,23.53371386,77.21705554,6.207652157,87.54004943,cotton,Summer,April-June,180,October-December,High
102.0,46.0,19.0,22.77076388,82.5993307,6.631005298,81.49543437,cotton,Summer,April-June,180,October-December,High
131.0,49.0,22.0,25.49848236,79.9751579,7.306918817,67.05961949,cotton,Summer,April-June,180,October-December,High
139.0,35.0,15.0,25.248679,83.4630147,5.898293044,86.55517751,cotton,Summer,April-June,180,October-December,High
108.0,36.0,19.0,22.78249615,77.51235009,7.238566893,64.61444234,cotton,Summer,April-June,180,October-December,High
118.0,45.0,23.0,23.37044424,77.43198948,7.977651226,71.67870701,cotton,Summer,April-June,180,October-December,High
107.0,51.0,22.0,24.86560781,78.22080815,5.983075895,79.56866268,cotton,Summer,April-June,180,October-December,High
125.0,60.0,17.0,24.14386157,84.51591287,6.785723961,80.36146974,cotton,Summer,April-June,180,October-December,High
113.0,37.0,20.0,25.03300222,79.04368718,7.393441155,97.10087029,cotton,Summer,April-June,180,October-December,High
131.0,52.0,16.0,23.65724079,84.47601498,6.486068274,88.54479121,cotton,Summer,April-June,180,October-December,High
115.0,48.0,16.0,25.54359718,84.09229796,7.175934962,88.94245493,cotton,Summer,April-June,180,October-December,High
113.0,38.0,25.0,22.00085141,79.47270984,7.388265888,90.42224164,cotton,Summer,April-June,180,October-December,High
111.0,41.0,18.0,23.64328417,78.1258666,6.10539819,80.96157332,cotton,Summer,April-June,180,October-December,High
111.0,53.0,19.0,23.96436009,78.02763149,6.419536555,84.63148859,cotton,Summer,April-June,180,October-December,High
122.0,48.0,16.0,24.65425757,75.6350708,6.307585854,61.82980133,cotton,Summer,April-June,180,October-December,High
108.0,46.0,17.0,24.3017998,84.87668973,6.93221485,65.0247867,cotton,Summer,April-June,180,October-December,High
132.0,41.0,22.0,24.29144926,81.02453404,7.810865753,90.41694635,cotton,Summer,April-June,180,October-December,High
103.0,42.0,17.0,24.29470232,84.61527627,6.527541661,81.05902285,cotton,Summer,April-June,180,October-December,High
133.0,50.0,25.0,25.72180042,81.19666206,7.569454601,99.93100821,cotton,Summer,April-June,180,October-December,High
127.0,37.0,18.0,24.87663664,76.30050373,7.041065585,91.9223468,cotton,Summer,April-June,180,October-December,High
110.0,39.0,25.0,22.60612115,77.34264002,7.208795456,75.13617229,cotton,Summer,April-June,180,October-December,High
131.0,38.0,19.0,23.86814008,75.68339729,6.814341946,90.4547185,cotton,Summer,April-June,180,October-December,High
108.0,38.0,24.0,23.41022496,76.43836957,7.442217061,78.82199603,cotton,Summer,April-June,180,October-December,High
122.0,40.0,17.0,24.96440768,81.31677618,6.854558957,80.03995829,cotton,Summer,April-June,180,October-December,High
111.0,50.0,15.0,25.16820129,80.30351815,7.884550475,84.62419032,cotton,Summer,April-June,180,October-December,High
140.0,40.0,17.0,22.72767171,77.07598065,6.006085786,77.55176318,cotton,Summer,April-June,180,October-December,High
100.0,40.0,20.0,22.45145981,76.25674874,7.432043735,86.84998693,cotton,Summer,April-June,180,October-December,High
123.0,50.0,16.0,23.04920461,75.53835214,6.498052108,70.65644296,cotton,Summer,April-June,180,October-December,High
107.0,36.0,21.0,25.29250148,75.66653335,6.205263534,62.64174227,cotton,Summer,April-June,180,October-December,High
118.0,50.0,19.0,22.95604064,82.33733678,6.360812227,66.48339303,cotton,Summer,April-June,180,October-December,High
103.0,51.0,20.0,22.80213132,84.14668447,7.046607434,91.6389565,cotton,Summer,April-June,180,October-December,High
133.0,57.0,19.0,23.54234715,75.98203329,7.947011366,84.12536744,cotton,Summer,April-June,180,October-December,High
129.0,47.0,20.0,24.41212325,80.80343786,6.281913858,98.60457373,cotton,Summer,April-June,180,October-December,High
116.0,52.0,19.0,22.94276687,75.37170612,6.114525877,67.08022574,cotton,Summer,April-June,180,October-December,High
114.0,40.0,23.0,25.53676123,81.13668716,6.753978061,95.4262599,cotton,Summer,April-June,180,October-December,High
131.0,60.0,17.0,25.32023717,81.79475917,7.425041316,83.46532547,cotton,Summer,April-June,180,October-December,High
107.0,43.0,18.0,22.426733,81.53480799,6.745104394,65.54475812,cotton,Summer,April-June,180,October-December,High
123.0,44.0,21.0,25.78544484,75.00539324,7.641116569,91.39578861,cotton,Summer,April-June,180,October-December,High
112.0,49.0,25.0,25.68959532,77.90621048,6.470135478,66.19426787,cotton,Summer,April-June,180,October-December,High
119.0,44.0,15.0,22.14593688,82.8597549,7.091992365,60.65381719,cotton,Summer,April-June,180,October-December,High
130.0,59.0,19.0,25.07278712,82.50257909,6.520403794,93.51042684,cotton,Summer,April-June,180,October-December,High
127.0,53.0,24.0,22.21506982,76.17851932,6.127939628,70.40557612,cotton,Summer,April-June,180,October-December,High
134.0,52.0,18.0,23.9643129,76.59175937,7.994679507,76.13090645,cotton,Summer,April-June,180,October-December,High
109.0,36.0,18.0,25.40059227,76.53237965,7.524707577,62.5138867,cotton,Summer,April-June,180,October-December,High
100.0,48.0,17.0,23.7805123,83.03878838,7.827877818,66.26555904,cotton,Summer,April-June,180,October-December,High
132.0,52.0,19.0,24.16402322,76.7433897,6.436691764,61.94626051,cotton,Summer,April-June,180,October-December,High
102.0,37.0,25.0,25.31468463,77.91757121,5.907930899,72.82902109,cotton,Summer,April-June,180,October-December,High
111.0,39.0,22.0,22.60361557,80.3509046,6.135025006,88.57395505,cotton,Summer,April-June,180,October-December,High
117.0,51.0,15.0,22.9535715,78.71555832,6.044556594,99.75336197,cotton,Summer,April-June,180,October-December,High
136.0,36.0,24.0,22.74446976,80.41198458,7.59781958,90.07326633,cotton,Summer,April-June,180,October-December,High
134.0,56.0,18.0,23.80834611,83.91902605,6.691268104,70.97358303,cotton,Summer,April-June,180,October-December,High
112.0,54.0,15.0,25.46228792,81.56641891,6.175492306,76.88582484,cotton,Summer,April-June,180,October-December,High
105.0,56.0,15.0,25.96779712,81.97904282,7.272316209,74.14169043,cotton,Summer,April-June,180,October-December,High
140.0,45.0,15.0,25.5308271,80.04662756,5.801047545,99.39557151,cotton,Summer,April-June,180,October-December,High
126.0,46.0,25.0,24.43847399,81.69801729,6.757457943,60.79645852,cotton,Summer,April-June,180,October-December,High
106.0,49.0,24.0,23.03887865,76.47039772,6.983395573,90.64770699,cotton,Summer,April-June,180,October-December,High
121.0,53.0,19.0,23.51308653,76.72621429,7.976889498,80.11272117,cotton,Summer,April-June,180,October-December,High
108.0,60.0,17.0,22.75805656,76.75768356,6.558902588,97.76600619,cotton,Summer,April-June,180,October-December,High
116.0,56.0,17.0,24.71252544,77.7293114,7.979090365,85.24963302,cotton,Summer,April-June,180,October-December,High
100.0,52.0,19.0,23.45969093,82.44777468,7.903528673,93.50153555,cotton,Summer,April-June,180,October-December,High
129.0,43.0,16.0,25.5503704,77.85055621,6.73210948,78.58488484,cotton,Summer,April-June,180,October-December,High
118.0,44.0,23.0,22.08458267,82.82904143,6.691690476,67.06459777,cotton,Summer,April-June,180,October-December,High
117.0,43.0,25.0,24.68854799,78.51206972,7.839849298,69.31153566,cotton,Summer,April-June,180,October-December,High
126.0,37.0,21.0,25.84997269,84.16855231,6.61448588,77.03421249,cotton,Summer,April-June,180,October-December,High
120.0,48.0,16.0,22.46054478,75.40989245,7.456971816,71.85436078,cotton,Summer,April-June,180,October-December,High
102.0,45.0,16.0,23.65629976,77.52425987,7.2942193,74.8984994,cotton,Summer,April-June,180,October-December,High
131.0,56.0,20.0,22.00817088,81.83896111,7.762647875,92.23645249,cotton,Summer,April-June,180,October-December,High
114.0,40.0,17.0,24.32630461,80.13456404,6.363406102,69.45072055,cotton,Summer,April-June,180,October-December,High
101.0,37.0,18.0,22.92360984,82.68738535,7.63737841,92.91915074,cotton,Summer,April-June,180,October-December,High
106.0,46.0,20.0,23.43821725,78.63388824,6.200671976,81.15072105,cotton,Summer,April-June,180,October-December,High
113.0,38.0,20.0,22.10718988,78.58320116,6.364729934,74.94136567,cotton,Summer,April-June,180,October-December,High
102.0,53.0,21.0,23.03814028,76.11021529,6.913678684,91.49697481,cotton,Summer,April-June,180,October-December,High
110.0,39.0,18.0,24.54795322,75.39752705,7.766259769,63.88079866,cotton,Summer,April-June,180,October-December,High
107.0,58.0,15.0,23.73868041,75.77503808,7.55606399,76.63669195,cotton,Summer,April-June,180,October-December,High
120.0,60.0,15.0,22.31871914,83.86129998,7.288377241,65.35747011,cotton,Summer,April-June,180,October-December,High
89.0,47.0,38.0,25.52468965,72.24850829,6.002524871,151.8869972,jute,Unknown,Unknown,90,Unknown,Medium
60.0,37.0,39.0,26.59104992,82.94164078,6.033485257,161.2469997,jute,Unknown,Unknown,90,Unknown,Medium
63.0,41.0,45.0,25.29781791,86.8870535,7.121933579,196.6249511,jute,Unknown,Unknown,90,Unknown,Medium
86.0,40.0,39.0,25.72100868,88.16513579,6.207459637,175.6086697,jute,Unknown,Unknown,90,Unknown,Medium
96.0,41.0,40.0,23.58419277,72.00460848,6.090060478,190.4242157,jute,Unknown,Unknown,90,Unknown,Medium
100.0,35.0,36.0,25.31042337,72.01364411,6.346715209,190.5577618,jute,Unknown,Unknown,90,Unknown,Medium
