crop_type,disease_type,disease_stage,crop_stage,region,is_organic_farming,temperature,humidity,rainfall,soil_ph,nitrogen,organic_pesticide,organic_application_method,organic_dosage,organic_frequency,non_organic_pesticide,non_organic_application_method,non_organic_dosage,non_organic_frequency
tomato,downy mildew,early,fruiting,Karnataka,1,23.0,55.6,3,6.31,27.4,Trichoderma viride,Drip irrigation,4.9 ml/L water,Every 5 days,Bavistin,Broadcast spraying,2.4 g/L water,Once every 15 days
apple,powdery mildew,early,vegetative,Punjab,0,23.6,84.4,1,6.37,33.4,Cow dung decoction,Soil drench,2.6 ml/L water,Every 9 days,Carbendazim,Soil application,2.8 g/L water,Once every 19 days
mango,stem rot,advanced,fruiting,Bihar,0,25.9,62.8,2,6.5,41.2,Panchagavya,Seed treatment,4.1 ml/L water,Every 10 days,Thiamethoxam,Soil application,1.8 g/L water,Once every 17 days
muskmelon,powdery mildew,early,flowering,Tamil Nadu,0,26.1,68.1,4,6.65,38.6,Cow dung decoction,Seed treatment,4.3 ml/L water,Every 6 days,Bavistin,Foliar spray,2.8 g/L water,Once every 11 days
cotton,stem rot,early,fruiting,Tamil Nadu,0,27.6,66.1,0,6.7,43.7,Cow dung decoction,Soil drench,3.0 ml/L water,Every 6 days,Confidor,Foliar spray,1.6 g/L water,Once every 13 days
mango,downy mildew,advanced,vegetative,Maharashtra,0,26.7,74.6,1,6.35,30.3,Cow dung decoction,Foliar spray,4.2 ml/L water,Every 7 days,Thiamethoxam,Foliar spray,2.1 g/L water,Once every 19 days
cotton,downy mildew,advanced,fruiting,Maharashtra,0,25.7,73.5,2,6.83,45.4,Garlic-chilli extract,Seed treatment,4.3 ml/L water,Every 8 days,Chlorpyrifos,Soil application,1.3 g/L water,Once every 16 days
mothbeans,stem rot,advanced,seedling,Punjab,0,30.6,74.0,5,6.47,33.8,Trichoderma viride,Seed treatment,4.6 ml/L water,Every 7 days,Bavistin,Broadcast spraying,1.3 g/L water,Once every 14 days
papaya,downy mildew,early,flowering,Bihar,0,35.2,66.6,2,6.57,49.1,Neem oil spray,Seed treatment,3.1 ml/L water,Every 5 days,Thiamethoxam,Soil application,1.4 g/L water,Once every 17 days
maize,powdery mildew,mid,seedling,Karnataka,1,32.2,77.1,0,6.34,33.4,Cow dung decoction,Foliar spray,2.0 ml/L water,Every 5 days,Confidor,Soil application,2.6 g/L water,Once every 16 days
blackgram,downy mildew,advanced,fruiting,Tamil Nadu,1,32.4,60.0,1,6.81,23.2,Beauveria bassiana,Seed treatment,2.4 ml/L water,Every 8 days,Confidor,Broadcast spraying,2.5 g/L water,Once every 17 days
tomato,stem rot,mid,seedling,Bihar,1,27.8,42.7,4,6.24,32.1,Beauveria bassiana,Drip irrigation,4.8 ml/L water,Every 10 days,Thiamethoxam,Broadcast spraying,2.1 g/L water,Once every 14 days
lentil,powdery mildew,early,vegetative,Maharashtra,1,31.4,54.1,1,6.97,49.5,Panchagavya,Soil drench,2.3 ml/L water,Every 6 days,Bavistin,Broadcast spraying,1.0 g/L water,Once every 19 days
muskmelon,downy mildew,advanced,seedling,Punjab,0,25.4,80.8,1,6.14,41.3,Trichoderma viride,Drip irrigation,2.6 ml/L water,Every 6 days,Carbendazim,Foliar spray,1.7 g/L water,Once every 10 days
pomegranate,root rot,advanced,seedling,Tamil Nadu,1,27.5,61.1,5,6.18,28.7,Garlic-chilli extract,Seed treatment,4.9 ml/L water,Every 5 days,Bavistin,Foliar spray,2.8 g/L water,Once every 10 days
mungbean,powdery mildew,early,fruiting,Tamil Nadu,0,28.7,70.2,1,6.46,47.8,Garlic-chilli extract,Seed treatment,4.0 ml/L water,Every 10 days,Tilt (propiconazole),Broadcast spraying,1.1 g/L water,Once every 17 days
barley,leaf blight,advanced,seedling,Karnataka,0,30.4,65.1,8,6.36,53.4,Beauveria bassiana,Drip irrigation,2.6 ml/L water,Every 8 days,Thiamethoxam,Soil application,2.6 g/L water,Once every 15 days
jute,leaf blight,advanced,flowering,Karnataka,1,26.9,74.6,4,6.74,36.7,Panchagavya,Drip irrigation,4.9 ml/L water,Every 8 days,Ridomil Gold,Broadcast spraying,1.3 g/L water,Once every 15 days
grapes,powdery mildew,early,vegetative,Tamil Nadu,1,26.7,70.4,2,6.55,39.4,Trichoderma viride,Drip irrigation,2.6 ml/L water,Every 6 days,Tilt (propiconazole),Foliar spray,2.6 g/L water,Once every 15 days
chickpea,leaf blight,mid,vegetative,Bihar,1,30.8,66.7,1,6.28,62.1,Neem oil spray,Drip irrigation,2.3 ml/L water,Every 9 days,Confidor,Broadcast spraying,1.2 g/L water,Once every 14 days
kidneybeans,powdery mildew,advanced,fruiting,Maharashtra,1,31.0,82.6,1,6.19,39.3,Fish amino acid,Soil drench,3.9 ml/L water,Every 5 days,Confidor,Foliar spray,2.9 g/L water,Once every 15 days
tomato,downy mildew,mid,flowering,Tamil Nadu,0,28.7,69.0,1,6.64,42.1,Garlic-chilli extract,Foliar spray,3.1 ml/L water,Every 8 days,Bavistin,Soil application,1.9 g/L water,Once every 18 days
coconut,powdery mildew,advanced,flowering,Tamil Nadu,1,30.9,76.5,5,6.67,36.0,Neem oil spray,Drip irrigation,3.0 ml/L water,Every 7 days,Bavistin,Broadcast spraying,1.5 g/L water,Once every 20 days
apple,stem rot,advanced,vegetative,Tamil Nadu,1,30.2,52.2,3,6.79,42.6,Cow dung decoction,Soil drench,3.5 ml/L water,Every 9 days,Carbendazim,Foliar spray,2.6 g/L water,Once every 14 days
sugarcane,leaf blight,early,flowering,Punjab,1,31.0,70.7,2,7.02,34.8,Neem oil spray,Seed treatment,3.7 ml/L water,Every 9 days,Tilt (propiconazole),Broadcast spraying,2.9 g/L water,Once every 12 days
chickpea,root rot,advanced,fruiting,Punjab,0,30.3,82.5,2,6.76,34.4,Fish amino acid,Foliar spray,3.5 ml/L water,Every 10 days,Carbendazim,Foliar spray,2.0 g/L water,Once every 14 days
orange,downy mildew,mid,flowering,Bihar,1,26.8,65.3,1,6.31,44.7,Garlic-chilli extract,Seed treatment,3.8 ml/L water,Every 6 days,Chlorpyrifos,Soil application,1.4 g/L water,Once every 14 days
blackgram,leaf blight,mid,flowering,Bihar,0,28.7,59.8,2,6.62,34.8,Cow dung decoction,Foliar spray,3.2 ml/L water,Every 8 days,Chlorpyrifos,Broadcast spraying,1.8 g/L water,Once every 16 days
rice,stem rot,advanced,vegetative,Maharashtra,1,28.2,44.3,0,6.24,51.7,Neem oil spray,Drip irrigation,2.3 ml/L water,Every 6 days,Chlorpyrifos,Foliar spray,2.1 g/L water,Once every 12 days
grapes,stem rot,early,seedling,Karnataka,1,26.8,84.2,0,6.64,54.4,Cow dung decoction,Soil drench,2.8 ml/L water,Every 9 days,Confidor,Foliar spray,1.2 g/L water,Once every 16 days
rice,stem rot,early,seedling,Tamil Nadu,1,25.9,62.0,2,6.27,39.1,Garlic-chilli extract,Seed treatment,3.5 ml/L water,Every 5 days,Carbendazim,Soil application,2.4 g/L water,Once every 15 days
chickpea,stem rot,early,seedling,Karnataka,0,34.9,89.9,3,7.2,25.8,Cow dung decoction,Drip irrigation,3.1 ml/L water,Every 8 days,Carbendazim,Foliar spray,1.6 g/L water,Once every 10 days
pomegranate,root rot,early,vegetative,Bihar,0,32.6,65.7,1,6.87,34.0,Cow urine solution,Soil drench,2.9 ml/L water,Every 9 days,Tilt (propiconazole),Broadcast spraying,2.2 g/L water,Once every 16 days
jute,downy mildew,early,fruiting,Tamil Nadu,0,33.1,79.5,4,6.21,43.4,Garlic-chilli extract,Foliar spray,3.8 ml/L water,Every 7 days,Confidor,Foliar spray,2.2 g/L water,Once every 11 days
papaya,leaf blight,early,fruiting,Tamil Nadu,0,28.0,51.3,3,6.32,36.6,Panchagavya,Soil drench,2.7 ml/L water,Every 10 days,Tilt (propiconazole),Foliar spray,1.8 g/L water,Once every 11 days
blackgram,stem rot,early,flowering,Bihar,1,30.9,70.5,0,6.77,37.0,Cow dung decoction,Soil drench,4.9 ml/L water,Every 5 days,Ridomil Gold,Soil application,1.4 g/L water,Once every 19 days
mungbean,leaf blight,early,vegetative,Maharashtra,0,26.6,71.0,1,6.78,40.4,Panchagavya,Soil drench,2.5 ml/L water,Every 10 days,Ridomil Gold,Soil application,2.1 g/L water,Once every 20 days
rice,stem rot,advanced,seedling,Maharashtra,0,30.3,60.6,2,6.08,45.4,Cow dung decoction,Seed treatment,2.3 ml/L water,Every 6 days,Carbendazim,Soil application,2.8 g/L water,Once every 13 days
onion,downy mildew,early,seedling,Bihar,1,26.1,62.1,2,6.74,44.6,Cow dung decoction,Seed treatment,2.5 ml/L water,Every 9 days,Bavistin,Soil application,1.3 g/L water,Once every 20 days
barley,stem rot,advanced,flowering,Maharashtra,0,23.3,58.1,3,6.07,33.3,Panchagavya,Soil drench,2.2 ml/L water,Every 7 days,Fungicide M-45,Broadcast spraying,2.1 g/L water,Once every 15 days
mothbeans,stem rot,advanced,fruiting,Punjab,0,26.8,72.4,3,6.99,41.9,Beauveria bassiana,Soil drench,4.2 ml/L water,Every 7 days,Chlorpyrifos,Broadcast spraying,1.2 g/L water,Once every 20 days
jute,powdery mildew,mid,vegetative,Karnataka,0,36.0,73.7,3,6.6,34.6,Beauveria bassiana,Seed treatment,3.2 ml/L water,Every 5 days,Ridomil Gold,Foliar spray,1.9 g/L water,Once every 19 days
muskmelon,leaf blight,mid,flowering,Maharashtra,0,25.6,56.9,1,6.53,22.6,Fish amino acid,Seed treatment,2.4 ml/L water,Every 5 days,Ridomil Gold,Foliar spray,2.7 g/L water,Once every 18 days
watermelon,powdery mildew,mid,seedling,Tamil Nadu,0,29.0,67.6,1,6.49,36.9,Neem oil spray,Seed treatment,3.6 ml/L water,Every 9 days,Bavistin,Foliar spray,1.9 g/L water,Once every 10 days
pigeonpeas,downy mildew,early,flowering,Tamil Nadu,0,30.9,48.1,1,6.14,31.8,Cow urine solution,Soil drench,3.8 ml/L water,Every 6 days,Tilt (propiconazole),Soil application,1.2 g/L water,Once every 19 days
barley,downy mildew,early,seedling,Maharashtra,0,29.4,83.1,2,6.23,43.4,Fish amino acid,Soil drench,3.7 ml/L water,Every 6 days,Confidor,Soil application,2.3 g/L water,Once every 18 days
wheat,stem rot,advanced,flowering,Maharashtra,1,27.1,55.2,3,6.39,30.9,Cow urine solution,Foliar spray,2.8 ml/L water,Every 6 days,Chlorpyrifos,Foliar spray,2.4 g/L water,Once every 15 days
jute,root rot,mid,fruiting,Maharashtra,0,29.1,62.5,1,6.22,45.2,Garlic-chilli extract,Foliar spray,3.9 ml/L water,Every 9 days,Carbendazim,Foliar spray,2.4 g/L water,Once every 11 days
kidneybeans,stem rot,early,flowering,Punjab,1,26.9,77.5,0,6.17,36.1,Neem oil spray,Drip irrigation,3.0 ml/L water,Every 5 days,Bavistin,Broadcast spraying,2.0 g/L water,Once every 19 days
blackgram,root rot,advanced,fruiting,Tamil Nadu,0,30.2,72.5,3,6.24,52.6,Neem oil spray,Foliar spray,2.4 ml/L water,Every 8 days,Ridomil Gold,Soil application,1.6 g/L water,Once every 18 days
lentil,downy mildew,advanced,seedling,Tamil Nadu,0,35.4,80.4,2,6.0,35.5,Cow dung decoction,Seed treatment,2.8 ml/L water,Every 5 days,Carbendazim,Foliar spray,2.9 g/L water,Once every 12 days
banana,root rot,mid,seedling,Karnataka,0,31.9,64.9,4,6.8,42.1,Fish amino acid,Drip irrigation,2.1 ml/L water,Every 9 days,Bavistin,Broadcast spraying,1.5 g/L water,Once every 20 days
blackgram,leaf blight,mid,fruiting,Punjab,1,23.1,67.6,1,6.6,37.4,Neem oil spray,Seed treatment,2.5 ml/L water,Every 6 days,Chlorpyrifos,Broadcast spraying,2.8 g/L water,Once every 12 days
maize,powdery mildew,early,seedling,Karnataka,1,29.6,46.4,5,6.35,40.2,Garlic-chilli extract,Foliar spray,4.0 ml/L water,Every 7 days,Bavistin,Soil application,1.1 g/L water,Once every 10 days
pomegranate,downy mildew,mid,seedling,Maharashtra,0,27.9,51.8,1,6.47,35.2,Panchagavya,Drip irrigation,4.0 ml/L water,Every 7 days,Bavistin,Foliar spray,2.9 g/L water,Once every 20 days
pomegranate,powdery mildew,mid,vegetative,Maharashtra,0,29.4,61.0,1,6.46,33.7,Trichoderma viride,Seed treatment,2.2 ml/L water,Every 7 days,Chlorpyrifos,Foliar spray,1.8 g/L water,Once every 16 days
lentil,leaf blight,early,flowering,Karnataka,0,32.5,64.0,0,6.03,47.9,Beauveria bassiana,Foliar spray,4.4 ml/L water,Every 8 days,Ridomil Gold,Foliar spray,2.7 g/L water,Once every 16 days
blackgram,stem rot,mid,flowering,Tamil Nadu,1,29.2,55.5,2,6.43,41.7,Cow dung decoction,Seed treatment,2.9 ml/L water,Every 8 days,Ridomil Gold,Broadcast spraying,1.1 g/L water,Once every 14 days
mungbean,powdery mildew,mid,fruiting,Punjab,1,29.1,53.0,3,6.67,51.2,Trichoderma viride,Seed treatment,2.8 ml/L water,Every 6 days,Tilt (propiconazole),Foliar spray,2.4 g/L water,Once every 16 days
wheat,stem rot,early,flowering,Bihar,0,26.1,73.1,0,7.17,46.8,Garlic-chilli extract,Seed treatment,4.7 ml/L water,Every 6 days,Confidor,Foliar spray,1.4 g/L water,Once every 10 days
blackgram,stem rot,advanced,fruiting,Punjab,1,30.2,66.9,3,6.07,45.8,Panchagavya,Foliar spray,2.2 ml/L water,Every 5 days,Ridomil Gold,Broadcast spraying,2.3 g/L water,Once every 12 days
muskmelon,downy mildew,mid,flowering,Karnataka,1,29.6,72.8,1,6.12,51.4,Trichoderma viride,Drip irrigation,2.7 ml/L water,Every 9 days,Confidor,Foliar spray,1.4 g/L water,Once every 15 days
apple,downy mildew,advanced,vegetative,Karnataka,1,33.9,49.3,1,6.07,37.9,Cow urine solution,Drip irrigation,3.7 ml/L water,Every 8 days,Ridomil Gold,Soil application,1.6 g/L water,Once every 12 days
mungbean,stem rot,early,flowering,Bihar,1,31.7,60.3,2,6.58,28.5,Trichoderma viride,Seed treatment,2.8 ml/L water,Every 8 days,Ridomil Gold,Broadcast spraying,2.7 g/L water,Once every 13 days
mungbean,stem rot,early,vegetative,Maharashtra,1,27.3,73.6,3,6.79,37.6,Neem oil spray,Drip irrigation,3.0 ml/L water,Every 5 days,Thiamethoxam,Broadcast spraying,1.9 g/L water,Once every 19 days
grapes,stem rot,mid,fruiting,Punjab,0,27.9,70.0,4,6.61,49.2,Fish amino acid,Drip irrigation,3.6 ml/L water,Every 5 days,Bavistin,Foliar spray,1.9 g/L water,Once every 11 days
coffee,powdery mildew,advanced,flowering,Tamil Nadu,1,28.7,53.6,0,6.72,46.6,Cow urine solution,Soil drench,4.4 ml/L water,Every 5 days,Thiamethoxam,Soil application,1.6 g/L water,Once every 10 days
maize,powdery mildew,early,fruiting,Maharashtra,1,21.0,58.9,1,6.22,37.4,Cow urine solution,Soil drench,4.2 ml/L water,Every 10 days,Fungicide M-45,Broadcast spraying,2.8 g/L water,Once every 12 days
banana,root rot,mid,seedling,Karnataka,1,29.6,47.8,3,6.52,25.3,Beauveria bassiana,Soil drench,3.8 ml/L water,Every 6 days,Tilt (propiconazole),Foliar spray,1.7 g/L water,Once every 12 days
banana,powdery mildew,mid,vegetative,Maharashtra,1,28.9,63.9,2,6.8,45.1,Panchagavya,Drip irrigation,4.8 ml/L water,Every 8 days,Tilt (propiconazole),Soil application,1.2 g/L water,Once every 18 days
pigeonpeas,downy mildew,advanced,seedling,Bihar,0,31.0,88.1,1,6.85,54.9,Panchagavya,Foliar spray,3.9 ml/L water,Every 8 days,Ridomil Gold,Foliar spray,1.6 g/L water,Once every 13 days
pomegranate,root rot,advanced,fruiting,Karnataka,1,28.1,78.8,2,6.59,51.3,Cow urine solution,Soil drench,4.1 ml/L water,Every 8 days,Ridomil Gold,Foliar spray,1.2 g/L water,Once every 20 days
papaya,powdery mildew,mid,seedling,Karnataka,1,36.2,80.7,0,6.77,24.9,Fish amino acid,Seed treatment,4.8 ml/L water,Every 9 days,Bavistin,Soil application,2.2 g/L water,Once every 11 days
pomegranate,powdery mildew,advanced,fruiting,Tamil Nadu,1,30.1,48.5,2,6.6,39.7,Cow urine solution,Soil drench,4.5 ml/L water,Every 5 days,Ridomil Gold,Foliar spray,2.2 g/L water,Once every 11 days
muskmelon,root rot,early,seedling,Punjab,0,31.7,58.8,2,6.84,48.7,Garlic-chilli extract,Soil drench,4.1 ml/L water,Every 8 days,Bavistin,Broadcast spraying,2.5 g/L water,Once every 14 days
sugarcane,powdery mildew,advanced,vegetative,Karnataka,1,28.4,67.9,1,6.85,30.5,Panchagavya,Drip irrigation,4.2 ml/L water,Every 6 days,Ridomil Gold,Soil application,2.7 g/L water,Once every 17 days
banana,powdery mildew,early,seedling,Maharashtra,1,26.1,66.1,1,7.19,32.0,Beauveria bassiana,Seed treatment,3.6 ml/L water,Every 5 days,Thiamethoxam,Foliar spray,1.8 g/L water,Once every 17 days
coffee,stem rot,advanced,flowering,Punjab,1,31.5,65.9,3,6.07,25.6,Neem oil spray,Foliar spray,4.3 ml/L water,Every 7 days,Carbendazim,Broadcast spraying,1.5 g/L water,Once every 14 days
potato,powdery mildew,early,seedling,Bihar,0,29.9,78.4,1,6.39,38.3,Trichoderma viride,Soil drench,3.3 ml/L water,Every 5 days,Fungicide M-45,Soil application,1.6 g/L water,Once every 17 days
grapes,root rot,early,flowering,Punjab,0,33.5,63.5,2,6.72,41.0,Panchagavya,Foliar spray,2.1 ml/L water,Every 8 days,Confidor,Soil application,1.9 g/L water,Once every 16 days
jute,downy mildew,advanced,seedling,Tamil Nadu,0,24.1,51.4,2,7.42,27.7,Neem oil spray,Foliar spray,4.8 ml/L water,Every 7 days,Tilt (propiconazole),Foliar spray,1.4 g/L water,Once every 15 days
sugarcane,root rot,early,fruiting,Punjab,0,25.7,67.4,3,6.41,47.3,Panchagavya,Foliar spray,3.9 ml/L water,Every 7 days,Fungicide M-45,Foliar spray,1.7 g/L water,Once every 11 days
apple,leaf blight,advanced,seedling,Tamil Nadu,1,26.9,66.5,1,6.12,47.3,Fish amino acid,Drip irrigation,3.5 ml/L water,Every 7 days,Thiamethoxam,Broadcast spraying,2.0 g/L water,Once every 12 days
pomegranate,downy mildew,advanced,seedling,Maharashtra,1,28.2,77.4,3,6.64,33.6,Cow dung decoction,Soil drench,3.4 ml/L water,Every 10 days,Tilt (propiconazole),Foliar spray,1.0 g/L water,Once every 20 days
jute,downy mildew,mid,seedling,Maharashtra,1,28.9,76.3,1,6.17,30.5,Beauveria bassiana,Soil drench,2.1 ml/L water,Every 5 days,Fungicide M-45,Foliar spray,2.7 g/L water,Once every 13 days
rice,leaf blight,mid,flowering,Bihar,0,28.6,56.4,2,6.63,39.1,Fish amino acid,Soil drench,3.6 ml/L water,Every 5 days,Bavistin,Broadcast spraying,2.3 g/L water,Once every 11 days
papaya,leaf blight,early,seedling,Karnataka,1,27.9,71.3,4,7.05,36.7,Panchagavya,Drip irrigation,4.8 ml/L water,Every 8 days,Chlorpyrifos,Foliar spray,2.6 g/L water,Once every 11 days
tomato,downy mildew,advanced,vegetative,Maharashtra,0,29.6,42.0,2,6.33,52.4,Cow dung decoction,Drip irrigation,2.6 ml/L water,Every 8 days,Chlorpyrifos,Foliar spray,2.8 g/L water,Once every 14 days
mango,root rot,mid,vegetative,Punjab,1,26.4,67.3,4,6.96,25.6,Beauveria bassiana,Drip irrigation,4.2 ml/L water,Every 10 days,Fungicide M-45,Soil application,2.0 g/L water,Once every 14 days
mango,leaf blight,advanced,seedling,Maharashtra,1,31.5,68.4,1,6.39,41.7,Panchagavya,Seed treatment,2.4 ml/L water,Every 7 days,Bavistin,Soil application,2.2 g/L water,Once every 11 days
millet,leaf blight,mid,fruiting,Tamil Nadu,0,31.1,64.7,8,6.6,44.4,Fish amino acid,Drip irrigation,4.3 ml/L water,Every 5 days,Tilt (propiconazole),Soil application,1.9 g/L water,Once every 19 days
mothbeans,root rot,mid,fruiting,Punjab,0,24.6,73.1,3,6.74,48.9,Panchagavya,Drip irrigation,4.1 ml/L water,Every 5 days,Carbendazim,Foliar spray,1.5 g/L water,Once every 20 days
pigeonpeas,downy mildew,mid,fruiting,Bihar,1,35.4,71.1,1,6.73,45.6,Cow dung decoction,Seed treatment,4.5 ml/L water,Every 6 days,Bavistin,Foliar spray,2.7 g/L water,Once every 15 days
wheat,downy mildew,mid,seedling,Bihar,0,29.5,61.3,1,6.39,38.8,Cow dung decoction,Foliar spray,3.5 ml/L water,Every 10 days,Confidor,Foliar spray,1.1 g/L water,Once every 14 days
maize,root rot,early,fruiting,Karnataka,0,30.4,70.4,0,6.42,42.1,Panchagavya,Drip irrigation,4.3 ml/L water,Every 9 days,Ridomil Gold,Broadcast spraying,2.1 g/L water,Once every 11 days
chickpea,root rot,mid,seedling,Punjab,1,31.3,77.7,1,7.13,34.4,Neem oil spray,Soil drench,4.1 ml/L water,Every 10 days,Tilt (propiconazole),Soil application,2.8 g/L water,Once every 17 days
sugarcane,root rot,mid,flowering,Karnataka,1,28.8,71.0,3,6.31,26.9,Panchagavya,Foliar spray,3.9 ml/L water,Every 9 days,Tilt (propiconazole),Foliar spray,2.8 g/L water,Once every 16 days
rice,powdery mildew,mid,vegetative,Karnataka,0,24.9,65.1,2,7.04,43.7,Fish amino acid,Foliar spray,3.5 ml/L water,Every 7 days,Chlorpyrifos,Broadcast spraying,1.9 g/L water,Once every 19 days
kidneybeans,downy mildew,mid,flowering,Maharashtra,0,31.9,57.2,4,7.18,34.0,Beauveria bassiana,Drip irrigation,3.8 ml/L water,Every 5 days,Ridomil Gold,Foliar spray,1.1 g/L water,Once every 17 days
pomegranate,downy mildew,mid,vegetative,Maharashtra,0,37.4,65.1,1,6.38,51.2,Panchagavya,Drip irrigation,2.0 ml/L water,Every 6 days,Thiamethoxam,Foliar spray,1.9 g/L water,Once every 13 days
papaya,root rot,early,fruiting,Bihar,1,34.0,78.1,1,6.04,48.1,Trichoderma viride,Seed treatment,4.7 ml/L water,Every 5 days,Tilt (propiconazole),Broadcast spraying,1.6 g/L water,Once every 18 days
mungbean,downy mildew,advanced,seedling,Bihar,0,28.5,70.0,1,6.77,47.7,Beauveria bassiana,Soil drench,3.8 ml/L water,Every 6 days,Tilt (propiconazole),Soil application,2.2 g/L water,Once every 20 days
pomegranate,root rot,early,fruiting,Punjab,1,30.4,43.9,2,6.37,28.7,Panchagavya,Seed treatment,3.1 ml/L water,Every 8 days,Fungicide M-45,Foliar spray,2.1 g/L water,Once every 16 days
grapes,stem rot,advanced,vegetative,Punjab,0,30.4,60.4,4,6.26,38.9,Garlic-chilli extract,Drip irrigation,3.6 ml/L water,Every 9 days,Thiamethoxam,Broadcast spraying,2.7 g/L water,Once every 10 days
kidneybeans,root rot,advanced,fruiting,Tamil Nadu,0,31.5,57.2,3,6.67,45.7,Cow dung decoction,Soil drench,2.8 ml/L water,Every 9 days,Fungicide M-45,Foliar spray,1.8 g/L water,Once every 13 days
coconut,stem rot,early,flowering,Bihar,0,37.6,69.2,4,6.18,38.3,Cow dung decoction,Soil drench,3.1 ml/L water,Every 7 days,Ridomil Gold,Foliar spray,2.9 g/L water,Once every 18 days
pomegranate,powdery mildew,advanced,flowering,Bihar,0,29.6,61.1,3,6.47,35.7,Cow dung decoction,Soil drench,5.0 ml/L water,Every 8 days,Confidor,Soil application,1.2 g/L water,Once every 20 days
mothbeans,leaf blight,advanced,seedling,Bihar,1,26.9,50.3,1,6.78,23.6,Neem oil spray,Soil drench,3.6 ml/L water,Every 5 days,Carbendazim,Soil application,1.5 g/L water,Once every 19 days
coffee,root rot,advanced,flowering,Karnataka,0,35.6,57.3,1,6.31,37.6,Fish amino acid,Drip irrigation,4.3 ml/L water,Every 9 days,Fungicide M-45,Foliar spray,2.3 g/L water,Once every 15 days
barley,root rot,advanced,flowering,Punjab,0,29.3,63.5,2,6.5,39.5,Panchagavya,Soil drench,3.8 ml/L water,Every 7 days,Carbendazim,Foliar spray,1.8 g/L water,Once every 18 days
pigeonpeas,stem rot,early,vegetative,Maharashtra,0,27.3,80.7,2,6.9,46.5,Cow dung decoction,Foliar spray,2.0 ml/L water,Every 5 days,Ridomil Gold,Foliar spray,1.6 g/L water,Once every 17 days
pomegranate,root rot,mid,vegetative,Maharashtra,1,26.9,77.2,3,6.81,48.2,Cow dung decoction,Drip irrigation,2.4 ml/L water,Every 8 days,Fungicide M-45,Foliar spray,1.8 g/L water,Once every 15 days
apple,root rot,early,vegetative,Maharashtra,0,32.4,65.2,1,6.5,34.6,Garlic-chilli extract,Seed treatment,4.3 ml/L water,Every 5 days,Carbendazim,Broadcast spraying,1.7 g/L water,Once every 15 days
papaya,stem rot,advanced,seedling,Karnataka,0,29.5,87.9,1,6.6,31.1,Garlic-chilli extract,Foliar spray,4.1 ml/L water,Every 9 days,Thiamethoxam,Broadcast spraying,1.1 g/L water,Once every 20 days
apple,downy mildew,mid,seedling,Tamil Nadu,0,33.7,78.4,2,6.32,44.0,Trichoderma viride,Foliar spray,4.4 ml/L water,Every 8 days,Carbendazim,Soil application,1.5 g/L water,Once every 19 days
pigeonpeas,downy mildew,advanced,vegetative,Bihar,0,35.7,38.9,3,6.38,34.2,Panchagavya,Seed treatment,3.8 ml/L water,Every 6 days,Tilt (propiconazole),Broadcast spraying,2.5 g/L water,Once every 20 days
potato,powdery mildew,advanced,seedling,Karnataka,0,27.6,61.3,4,6.65,54.3,Panchagavya,Foliar spray,3.3 ml/L water,Every 10 days,Confidor,Broadcast spraying,2.2 g/L water,Once every 12 days
wheat,powdery mildew,mid,vegetative,Tamil Nadu,1,28.9,65.4,2,6.55,51.4,Panchagavya,Drip irrigation,2.9 ml/L water,Every 10 days,Confidor,Broadcast spraying,1.3 g/L water,Once every 17 days
muskmelon,leaf blight,advanced,fruiting,Bihar,1,31.3,62.8,0,6.67,37.3,Cow dung decoction,Foliar spray,3.1 ml/L water,Every 7 days,Ridomil Gold,Broadcast spraying,2.0 g/L water,Once every 11 days
mungbean,powdery mildew,mid,vegetative,Bihar,0,37.5,60.2,1,6.57,27.4,Panchagavya,Foliar spray,3.4 ml/L water,Every 8 days,Confidor,Soil application,1.4 g/L water,Once every 15 days
barley,root rot,early,flowering,Tamil Nadu,1,32.4,60.4,2,6.64,43.7,Cow urine solution,Soil drench,4.3 ml/L water,Every 7 days,Chlorpyrifos,Soil application,2.3 g/L water,Once every 15 days
wheat,downy mildew,advanced,flowering,Karnataka,1,25.5,61.8,4,7.05,38.9,Neem oil spray,Seed treatment,3.8 ml/L water,Every 9 days,Chlorpyrifos,Foliar spray,1.1 g/L water,Once every 19 days
potato,leaf blight,advanced,flowering,Maharashtra,0,32.3,68.1,1,6.55,46.4,Cow dung decoction,Foliar spray,3.7 ml/L water,Every 5 days,Bavistin,Foliar spray,1.8 g/L water,Once every 16 days
lentil,stem rot,early,flowering,Maharashtra,1,31.4,61.6,0,6.57,38.5,Beauveria bassiana,Foliar spray,2.2 ml/L water,Every 5 days,Ridomil Gold,Soil application,1.1 g/L water,Once every 20 days
muskmelon,powdery mildew,advanced,seedling,Punjab,1,30.5,49.5,0,6.45,44.0,Panchagavya,Soil drench,4.4 ml/L water,Every 10 days,Chlorpyrifos,Broadcast spraying,2.8 g/L water,Once every 11 days
tomato,leaf blight,mid,flowering,Tamil Nadu,1,27.1,64.7,0,6.19,39.3,Garlic-chilli extract,Foliar spray,3.6 ml/L water,Every 9 days,Ridomil Gold,Foliar spray,2.4 g/L water,Once every 12 days
coffee,leaf blight,advanced,fruiting,Karnataka,0,33.6,70.4,0,6.86,43.4,Garlic-chilli extract,Foliar spray,3.6 ml/L water,Every 5 days,Confidor,Soil application,1.6 g/L water,Once every 14 days
